('71257', 'gm')
('71276', 'gm')
('+64', 'm')
('+76', 'm')
('71342', 'gm')
('+152', 'm')
('+153', 'm')
('+154', 'm')
('+155', 'm')
('+156', 'm')
('+157', 'm')
('71373', 'gm')
('71393', 'gm')
('+204', 'm')
('+206', 'm')
('+207', 'm')
('+208', 'm')
('+217', 'm')
('+218', 'm')
('+220', 'm')
('+221', 'm')
('+227', 'm')
('+248', 'm')
('71441', 'gm')
('+260', 'm')
('+261', 'm')
('+278', 'm')
('+298', 'm')
('+299', 'm')
('+312', 'm')
('+326', 'm')
('71509', 'gm')
('+332', 'm')
('+333', 'm')
('+334', 'm')
('+335', 'm')
('+336', 'm')
('+386', 'm')
('71560', 'm')
('+395', 'm')
('+396', 'm')
('+417', 'm')
('+418', 'm')
('71589', 'm')
('72447', 'm')
('+510', 'm')
('+511', 'm')
('+519', 'm')
('+521', 'm')
('+535', 'm')
Additional genes: 40
Missing genes: 10
